airbnb_neighbourhood,barrio_id,barrio_label,distrito_id,distrito_label
la Sagrera,lBarlaSagrera,la Sagrera,lDisSantAndreu,Sant Andreu
la Salut,lBarlaSalut,la Salut,lDisGracia,Gràcia
la Teixonera,lBarlaTeixonera,la Teixonera,lDisHortaGuinardo,Horta-Guinardó
la Trinitat Nova,lBarlaTrinitatNova,la Trinitat Nova,lDisNouBarris,Nou Barris
la Trinitat Vella,lBarlaTrinitatVella,la Trinitat Vella,lDisSantAndreu,Sant Andreu
la Vall d'Hebron,lBarlaValldHebron,la Vall d'Hebron,lDisHortaGuinardo,Horta-Guinardó
la Verneda i la Pau,lBarlaVernedailaPau,la Verneda i la Pau,lDisSantMarti,Sant Martí
la Vila Olímpica del Poblenou,lBarlaVilaOlimpicadelPoblenou,la Vila Olímpica del Poblenou,lDisSantMarti,Sant Martí
la Vila de Gràcia,lBarlaViladeGracia,la Vila de Gràcia,lDisGracia,Gràcia
les Corts,lBarlesCorts,les Corts,lDisLesCorts,Les Corts
les Roquetes,lBarlesRoquetes,les Roquetes,lDisNouBarris,Nou Barris
les Tres Torres,lBarlesTresTorres,les Tres Torres,lDisSarriaSantGervasi,Sarrià-Sant Gervasi
